Candidate,Elected_Prior_Election
Paul Bradford,0
Seán Sherlock,1
David Stanton,1
Tom Barry,1
Barbara Ahern,0
Noel McCarthy,0
Kieran McCarthy,0
Paddy Bullman,0
Ken Curtin,0
Ciara Leonardi-Roche,0
Mary Linehan-Foley,0
Kevin O'Keeffe,0
Natasha Harty,0
Ross Cannon,0
Pat Buckley,0
Ger Keohane,0
Thomas Kiely,0
Kathleen Lynch,1
Peter O'Loughlin,0
Julie O'Leary,0
Dara Murphy,1
Mick Barry,0
Billy Kelleher,1
Ted Tynan,0
Thomas Gould,0
Oliver Moran,0
Paddy O'Leary,0
Jonathan O'Brien,1
Mick Murphy,0
John Paul O'Shea,0
áine Collins,1
Nigel Dennehy,0
Steven O'Riordan,0
Jason Fitzgerald,0
Aindrias Moynihan,0
Shirley Griffin,0
Cormac Manning,0
Jerry O'Sullivan,0
Michael O'Donnell,0
Diarmuid O'Flynn,0
Michael Creed,1
Michael Moynihan,1
Ciarán Lynch,1
Michael Mohally,0
Donnchadh ó Laoghaire,0
Elizabeth Hourihane,0
Jerry Buttimer,1
Micheál Martin,1
Fiona Ryan,0
Jim óConnell,0
Ciarán Kenneally,0
Simon Coveney,1
Lorna Bogue,0
Joe Harris,0
Michael McGrath,1
Diarmaid ó Cadhla,0
Mick Finn,0
Johnny O'Mahony,0
Alan Coleman,0
Michael Collins,0
Noel Harrington,1
Margaret Murphy-O'Mahony,0
Jim Daly,1
Rachel McCarthy,0
Gillian Powell,0
Michael McCarthy,1
Fiona Pettit O'Leary,0
Theresa Heaney,0
Tim Jackson,0
Paula Flanagan,0
Charlie McConalogue,1
Thomas Pringle,1
Pearse Doherty,1
Frank McBrearty,0
Pat the Cope Gallagher,0
Paddy Harte,0
Michael Mooney,0
Padraig MacLochlainn,1
Joe McHugh,1
Cordelia Ní­c Fhearraigh,0
Niamh Kennedy,0
Gary Doherty,0
Ian McGarvey,0
Dessie Shiels,0
Aodhán ó Ríordáin,1
Finian McGrath,1
John Lyons,1
Jimmy Guerin,0
Michael O'Brien,0
Damien O'Neill,0
Naoise ó Muirí­,0
Donna Cooney,0
Richard Bruton,1
Terence Flanagan,1
Tommy Broughan,1
Stephanie Regan,0
Mí­cheál Mac Donncha,0
Paul Clarke,0
Proinsias ó Conaráin,0
Seán Haughey,0
Deirdre Heney,0
Averil Power,0
Denise Mitchell,0
Cian O'Callaghan,0
Mannix Flynn,0
Jim O'Callaghan,0
Gleanna Lynch,0
Eoin Tierney,0
Eamon Ryan,0
Eoghan Murphy,1
Kate O'Connell,0
Chris Andrews,0
William DJ Gorman,0
John Dominic Keigher,0
Alan MacStiofain,0
Lucinda Creighton,1
Annette Mooney,0
Kevin Humphreys,1
Ian Noel Smyth,0
Cieran Perry,0
Christy Burke,0
Maureen O'Sullivan,1
Gary Gannon,0
William DJ Gorman,0
Diana O'Dwyer,0
Mary Lou McDonald,1
éilis Ryan,0
Mary Fitzpatrick,0
Jacqui Gilbourne,0
Kerry Guinan,0
Paschal Donohoe,1
Joe Costello,1
Cormac McKay,0
Raymond Whitehead,0
Shane O'Brien,0
Sean Barrett,1
Ossian Smyth,0
Maria Bailey,0
Carrie Smyth,0
Carol Hunt,0
Mary Mitchell-O'Connor,1
Mary Hanafin,0
Richard Boyd Barrett,1
Cormac Devlin,0
Frank Cronin,0
Clare Daly,1
James Reilly,1
Lorraine Clifford-Lee,0
Barry Martin,0
Alan Farrell,1
Tony Murphy,0
Roslyn Fuller,0
Darragh O'Brien,0
Terry Kelleher,0
Brendan Ryan,1
Louise O'Reilly,0
Joe O'Brien,0
Fergal O'Connell,0
Gerry Molloy,0
Marcus De Brun,0
Paul Gogarty,0
Haroon Khan,0
Derek Keating,1
Clare Leonard,0
Tom Kivlehan,0
Eoin ó Broin,0
Christopher Healy,0
Lorraine Hennessy,0
Francis Timmons,0
Patrick Akpoveta,0
John Curran,0
Joanna Tuffy,1
Anne-Marie McNally,0
Gino Kenny,0
Frances Fitzgerald,1
Andrew Keegan,0
Noel Rock,0
Cathleen Carney Boud,0
John Lyons,1
Bernie Hughes,0
Dessie Ellis,1
Cormac McKay,0
Jimmy Dignam,0
Caroline Conroy,0
Róisín Shortall,1
Paul McAuliffe,0
Catherine Martin,0
Alan Daveron,0
Peter Mathews,1
Josepha Madigan,0
Mary White,0
Shane Ross,1
Alan Shatter,1
Alex White,1
Sorcha Nic Cormaic,0
Máire Devine,0
Joan Collins,1
Paul Hand,0
Catherine Ardagh,0
Aengus ó Snodaigh,1
Michael Gargan,0
Oisí­n ó hAlmhain,0
Richard Murray,0
Brí­d Smith,0
Catherine Byrne,1
Liam Coyne,0
Eric Byrne,1
Neville Bradley,0
Seán Crowe,1
Karen Warren,0
Paul Murphy,1
Sandra Fay,0
Eamon Maloney,0
Ronan McMahon,0
Anne-Marie Dermody,0
Stephen Sinclair,0
Sarah Holland,0
Declan Burke,0
Joan Summerville-Molloy,0
Kieran Adam Quigley,0
Peter Fitzpatrick,1
Colm Brophy,0
John Lahart,0
Mick Duff,0
Deirdre O'Donovan,0
Frank O'Gorman,0
Katherine Zappone,0
Pamela Kearns,0
Francis Duffy,0
David McGuinness,0
Jo O'Brien,0
Jack Chambers,0
Catherine Noone,0
Joan Burton,1
Paul Donnelly,0
T.J. Clare,0
Dermot Casey,0
Ruth Coppinger,1
Roderic O'Gorman,0
Leo Varadkar,1
Anne Rabbitte,0
Lorraine Higgins,0
Aengus Melia,0
Michael Fahy,0
Ciarán Cannon,1
Seán Canney,0
"Paul Connaughton, Jnr",1
Annemarie Roche,0
Mairéad Ni Chróiní­n,0
Colm Keaveney,1
Éamon Ó Cuív,1
Mary Hoade,0
Sean Kyne,1
Catherine Connolly,0
James Charity,0
Ruairí­ O'Neill,0
John Connolly,0
Séamus Sheridan,0
Tommy Roddy,0
Niall ó Tuathail,0
Noel Grealish,1
Mike Cubbard,0
Tommy Holohan,0
Derek Nolan,1
Nicola Daveron,0
Hildegarde Naughton,0
Patrick Feeney,0
Fidelma Healy-Eames,0
John O'Mahony,1
Trevor ó Clochartaigh,0
John Brassil,0
Michael O'Gorman,0
Kevin Murphy,0
Arthur Spring,1
Michael Fitzgerald,0
Martin Ferris,1
Brendan Griffin,1
Michael Healy-Rae,1
Henry Gaynor,0
Norma Moriarty,0
Donal Corcoran,0
Jimmy Deenihan,1
Grace O'Donnell,0
Danny Healy-Rae,0
Mary E Fitzgibbon,0
Brian Finucane,0
Anthony Lawlor,1
Réada Cronin,0
Gerard Dunne,0
Frank O'Rourke,0
Ashling Merriman,0
Brendan Young,0
Bernard Durkan,1
Elizabeth O'Sullivan,0
Michael Beirne,0
Emmet Stagg,1
James Lawless,0
Maebh Ní­ Fhallíºin,0
Catherine Murphy,1
Shane Fitzgerald,0
Patricia Ryan,0
Declan Crowe,0
Fiona O'Loughlin,0
Mark Wall,0
Martin Heydon,1
Seán ó Fearghaí­l,0
Mary Kennedy,0
Suzanne McEneaney,0
Fiona McLoughlin-Healy,0
Brian Stanley,1
Sinéad Moore,0
Charlie Flanagan,1
Seán Fleming,1
John Whelan,0
Thomasina Connell,0
Desmond Hayes,0
Willie O'Dea,1
Denis Riordan,0
Maurice Quinlivan,0
James Gaffney,0
Michael Noonan,1
Cian Prendiville,0
Kieran O'Donnell,1
Jan O'Sullivan,1
Sarah Jane Hennelly,0
Nora Bennis,0
James Heffernan,0
John O'Gorman,0
Seamus Browne,0
Patrick O'Donovan,1
Tom Neville,0
Alexander Cosgrave,0
Niall Collins,1
Richard O'Donoghue,0
Mark Keogh,0
Emmett O'Brien,0
Robert Troy,1
James Bannon,1
Kevin,0
Willie Penrose,1
James Morgan,0
Barbara Smyth,0
Dom Parker,0
Paul Hogan,0
James Miller,0
Noel McKervey,0
Peter Burke,0
Donal Jackson,0
Brian Fagan,0
Connie Gerety-Quinn,0
Stephanie Healy,0
Gabrielle McFadden,1
Mae Sexton,0
Manchán Magan,0
Gerry Adams,1
Imelda Munster,0
Mark Dearey,0
David Bradley,0
Declan Breathnach,0
Emma Coffey,0
Anthony Connor,0
Gerald Nash,1
Peter Fitzpatrick,1
Mary Moran,0
Maeve Yore,0
Kevin Callan,0
Gareth Weldon,0
Pat Greene,0
Fergus O'Dowd,1
Michael O'Dowd,0
Michael Ring,1
Jerry Cowley,0
Stephen Manning,0
Peter Jordan,0
Margaret,0
George O'Malley,0
Enda Kenny,1
Tom Moran,0
Dara Calleary,1
Michael Farrington,0
Lisa Chambers,0
Rose Conway-Walsh,0
Seán Forkan,0
Michelle Mulherin,1
Gerry O'Boyle,0
Mohammad Kamal Uddin,0
Sarah Tyrrell,0
Joe Bonner,0
Seamus McDonagh,0
Sharon Keogan,0
Ben Gilroy,0
Aisling O'Neill,0
Darren O'Rourke,0
Dominic Hannigan,1
Thomas Byrne,0
Seán ó Buachalla,0
Helen McEntee,1
Regina Doherty,1
Seamus McMenamin,0
Peadar Tóibín,1
Damien English,1
Alan Lawes,0
John Malone,0
Shane Cassells,0
Tracy McElhinney,0
Trevor Golden,0
Ray Butler,1
Barry Cowen,1
John Foley,0
John Leahy,0
Ken Smollen,0
Carol Nolan,0
Joe Hannigan,0
Eddie Fitzpatrick,0
Teresa Ryan-Feehan,0
Marcella Corcoran Kennedy,1
Kate Bopp,0
Christopher Fettes,0
Eugene Murphy,0
Eddie Conroy,0
Anne Farrell,0
Denis Naughten,1
Claire Kerrane,0
Shane Curran,0
Tony Coleman,0
Thomas Declan Fallon,0
John Kelly,0
Michael Fitzmaurice,1
Maura Hopkins,0
Miriam Hennessy,0
Tony McLoughlin,1
Eamon Murray,0
Marie Casserly,0
Bernie O'Hara,0
Chris MacManus,0
Leslie O'Hora,0
Finbarr Filan,0
Martin Kenny,0
Paddy O'Rourke,0
John Perry,1
Des Guckian,0
Marc MacSharry,0
Gerry Reynolds,0
Nigel Gallagher,0
Eamon Scanlon,0
Declan Bree,0
Bernard Sweeney,0
Susan O'Keeffe,0
Séamus Morris,0
Michael Lowry,1
Séamus Healy,1
Gearóid Fitzgibbon,0
Marie Murphy,0
Mattie McGrath,1
Tom Hayes,1
Michael Dillon,0
Noel Coonan,1
Michael Smith,0
Jackie Cahill,0
Siobhán Ambrose,0
Alan Kelly,1
David Cullinane,0
Mary Butler,0
John Halligan,1
Grace O'Sullivan,0
John D Walsh,0
John Deasy,1
íšna Dunphy,0
Ciara Conway,1
Paudie Coffey,1
Mailo Power,0
Sheikh Mohiuddin Ahmed,0
Edward Quilty,0
Johnny Mythen,0
Paul Kehoe,1
Aoife Byrne,0
Michael D'Arcy,0
Malcolm Byrne,0
Brendan Howlin,1
Leonard Kelly,0
Mick Wallace,1
John Dwyer,0
James Browne,0
Julie Hogan,0
Ann Walsh,0
Emmet Moloney,0
Caroline Foxe,0
David Lloyd,0
Deirdre Wadding,0
Ger Carty,0
Anna Doyle,0
Joe Behan,0
Billy Timmins,1
Avril Cronin,0
Bob Kearns,0
Pat Casey,0
Stephen Donnelly,1
Jennifer Cuffe,0
Steven Matthews,0
Charlie Keddy,0
Anne Ferris,1
Sharon Briggs,0
Katrina Hutchinson,0
John Brady,0
Simon Harris,1
Andrew Doyle,1
Kathleen Funchion,0
Jennifer Murnane O'Connor,0
Keith Gilligan,0
Patrick McKee,0
Bobby Aylward,1
John Paul Phelan,1
Conor MacLiam,0
David Fitzgerald,0
John McGuinness,1
Pat Deering,1
Ann Phelan,1
Noel G Walsh,0
Adrienne Wallace,0
Paddy Manning,0
Malcolm Noonan,0
Joe O'Reilly,1
Micheal Callaghan,0
Mary Smyth,0
Brendan Smith,1
Heather Humphreys,1
Jimmy Mee,0
Seán Conlan,1
Caoimhghí­n ó Caoláin,0
Mike Durkin,0
Aoife O'Connell,0
Emmett Smith,0
Mick McDermott,0
Niamh Smyth,0
John Wilson,0
Kathryn Reilly,0
Noeleen Moran,0
Michael McDonagh,0
Richard Cahill,0
André Sibo Hakizimana,0
Fergal Smith,0
Dermot Mulqueen,0
Pat Breen,1
Niamh O'Brien,0
Joe Carey,1
Ian Lynch,0
Ann Norton,0
Michael Harty,0
Claire Colleran-Molloy,0
Timmy Dooley,1
Mary Howard,0
Michael McNamara,1
